수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 4:34:00,Microsoft-Windows-Ntfs,98,없음,볼륨 C: (\Device\HarddiskVolume3) 정상입니다. 작업이 필요 없습니다.
정보,2025-11-21 오후 4:33:08,Microsoft-Windows-Ntfs,98,없음,볼륨 \\?\Volume{ba8a577c-e95d-4e38-91a3-45c6dfcc2ade} (\Device\HarddiskVolume4) 정상입니다. 작업이 필요 없습니다.
정보,2025-11-21 오후 4:32:09,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'WdFilter'(10.0, ‎2029‎-‎01‎-‎10T14:59:29.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:32:09,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'Wof'(10.0, ‎2089‎-‎07‎-‎15T11:58:05.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:32:09,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'FileInfo'(10.0, ‎2093‎-‎04‎-‎02T10:29:43.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:32:09,vmci,3,없음,VMCI: Using capabilities (0xc).

경고,2025-11-21 오후 4:32:06,Microsoft-Windows-HAL,18,없음,성능 카운터는 사용자 모드에서 읽을 수 없습니다. 시스템 성능이 저하될 수 있습니다.
경고,2025-11-21 오후 4:32:06,Microsoft-Windows-HAL,17,없음,클록 인터럽트는 프로세서별 원본이 아닌 플랫폼 타이머로 지원됩니다.  시스템 성능이 저하될 수 있습니다.
정보,2025-11-21 오후 4:32:06,Microsoft-Windows-HAL,16,없음,IOMMU 오류 보고가 초기화되었습니다.
정보,2025-11-21 오후 4:34:51,EventLog,6013,없음,시스템 작동 시간은 166초입니다.
정보,2025-11-21 오후 4:34:51,EventLog,6005,없음,이벤트 로그 서비스가 시작되었습니다.
정보,2025-11-21 오후 4:34:51,EventLog,6009,없음,Microsoft (R) Windows (R) 10.00. 26200  Multiprocessor Free.
오류,2025-11-21 오후 4:34:51,EventLog,6008,없음,‎2025-‎11-‎20의 오후 5:04:17에서 이전에 예기치 않은 시스템 종료가 있었습니다.
정보,2025-11-21 오후 4:32:06,Microsoft-Windows-Kernel-General,20,(6),"윤초 구성이 업데이트되었습니다.
이유: Leap second data initialized from registry during boot 
윤초 사용: true 
새 윤초 개수: 0 
이전 윤초 개수: 0"
